FullGeoName,YEAR,STATE_NAME,STATE_ABBREV,COUNTY_NAME,STATE_COUNTY_FIP_U,opioid_dispensing_rate
"AK, Aleutians East",2006,Alaska,AK,Aleutians East County,2013,Data unavailable
"AK, Aleutians West",2006,Alaska,AK,Aleutians West County,2016,Data unavailable
"AK, Anchorage",2006,Alaska,AK,Anchorage County,2020,71.5
"AK, Bethel",2006,Alaska,AK,Bethel County,2050,Data unavailable
"AK, Bristol Bay",2006,Alaska,AK,Bristol Bay County,2060,Data unavailable
"AK, Denali",2006,Alaska,AK,Denali County,2068,Data unavailable
"AK, Dillingham",2006,Alaska,AK,Dillingham County,2070,Data unavailable
"AK, Fairbanks North Star",2006,Alaska,AK,Fairbanks North Star County,2090,54.7
"AK, Haines",2006,Alaska,AK,Haines County,2100,Data unavailable
"AK, Hoonah-Angoon",2006,Alaska,AK,Hoonah-Angoon County,2105,Data unavailable
"AK, Juneau",2006,Alaska,AK,Juneau County,2110,95.3
"AK, Kenai Peninsula",2006,Alaska,AK,Kenai Peninsula County,2122,89.1
"AK, Ketchikan Gateway",2006,Alaska,AK,Ketchikan Gateway County,2130,144.4
"AK, Kodiak Island",2006,Alaska,AK,Kodiak Island County,2150,69.4
"AK, Lake and Peninsula",2006,Alaska,AK,Lake and Peninsula County,2164,Data unavailable
"AK, Matanuska-Susitna",2006,Alaska,AK,Matanuska-Susitna County,2170,82.5
"AK, Nome",2006,Alaska,AK,Nome County,2180,Data unavailable
"AK, North Slope",2006,Alaska,AK,North Slope County,2185,Data unavailable
"AK, Northwest Arctic",2006,Alaska,AK,Northwest Arctic County,2188,Data unavailable
"AK, Petersburg",2006,Alaska,AK,Petersburg County,2195,107.4
"AK, Prince of Wales-Hyder",2006,Alaska,AK,Prince of Wales-Hyder County,2198,Data unavailable
"AK, Sitka",2006,Alaska,AK,Sitka County,2220,Data unavailable
"AK, Skagway",2006,Alaska,AK,Skagway County,2230,Data unavailable
"AK, Southeast Fairbanks",2006,Alaska,AK,Southeast Fairbanks County,2240,Data unavailable
"AK, Valdez-Cordova",2006,Alaska,AK,Valdez-Cordova County,2261,46.5
"AK, Wade Hampton",2006,Alaska,AK,Wade Hampton County,2270,Data unavailable
"AK, Wrangell",2006,Alaska,AK,Wrangell County,2275,Data unavailable
"AK, Yakutat",2006,Alaska,AK,Yakutat County,2282,Data unavailable
"AK, Yukon-Koyukuk",2006,Alaska,AK,Yukon-Koyukuk County,2290,Data unavailable
"AL, Autauga",2006,Alabama,AL,Autauga County,1001,134.8
"AL, Baldwin",2006,Alabama,AL,Baldwin County,1003,127.8
"AL, Barbour",2006,Alabama,AL,Barbour County,1005,78.1
"AL, Bibb",2006,Alabama,AL,Bibb County,1007,114.3
"AL, Blount",2006,Alabama,AL,Blount County,1009,40.3
"AL, Bullock",2006,Alabama,AL,Bullock County,1011,34.6
"AL, Butler",2006,Alabama,AL,Butler County,1013,105.4
"AL, Calhoun",2006,Alabama,AL,Calhoun County,1015,165.7
"AL, Chambers",2006,Alabama,AL,Chambers County,1017,120.4
"AL, Cherokee",2006,Alabama,AL,Cherokee County,1019,123.8
"AL, Chilton",2006,Alabama,AL,Chilton County,1021,109.0
"AL, Choctaw",2006,Alabama,AL,Choctaw County,1023,60.2
"AL, Clarke",2006,Alabama,AL,Clarke County,1025,120.6
"AL, Clay",2006,Alabama,AL,Clay County,1027,114.0
"AL, Cleburne",2006,Alabama,AL,Cleburne County,1029,12.6
"AL, Coffee",2006,Alabama,AL,Coffee County,1031,118.6
"AL, Colbert",2006,Alabama,AL,Colbert County,1033,196.8
"AL, Conecuh",2006,Alabama,AL,Conecuh County,1035,142.1
"AL, Coosa",2006,Alabama,AL,Coosa County,1037,25.2
"AL, Covington",2006,Alabama,AL,Covington County,1039,202.1
"AL, Crenshaw",2006,Alabama,AL,Crenshaw County,1041,93.7
"AL, Cullman",2006,Alabama,AL,Cullman County,1043,140.6
"AL, Dale",2006,Alabama,AL,Dale County,1045,64.0
"AL, Dallas",2006,Alabama,AL,Dallas County,1047,77.9
"AL, DeKalb",2006,Alabama,AL,DeKalb County,1049,50.6
"AL, Elmore",2006,Alabama,AL,Elmore County,1051,83.0
"AL, Escambia",2006,Alabama,AL,Escambia County,1053,116.7
"AL, Etowah",2006,Alabama,AL,Etowah County,1055,126.2
"AL, Fayette",2006,Alabama,AL,Fayette County,1057,78.0
"AL, Franklin",2006,Alabama,AL,Franklin County,1059,160.3
"AL, Geneva",2006,Alabama,AL,Geneva County,1061,30.2
"AL, Greene",2006,Alabama,AL,Greene County,1063,32.4
"AL, Hale",2006,Alabama,AL,Hale County,1065,59.3
"AL, Henry",2006,Alabama,AL,Henry County,1067,41.0
"AL, Houston",2006,Alabama,AL,Houston County,1069,157.6
"AL, Jackson",2006,Alabama,AL,Jackson County,1071,108.9
"AL, Jefferson",2006,Alabama,AL,Jefferson County,1073,119.4
"AL, Lamar",2006,Alabama,AL,Lamar County,1075,53.0
"AL, Lauderdale",2006,Alabama,AL,Lauderdale County,1077,132.7
"AL, Lawrence",2006,Alabama,AL,Lawrence County,1079,45.9
"AL, Lee",2006,Alabama,AL,Lee County,1081,70.6
"AL, Limestone",2006,Alabama,AL,Limestone County,1083,60.0
"AL, Lowndes",2006,Alabama,AL,Lowndes County,1085,9.1
"AL, Macon",2006,Alabama,AL,Macon County,1087,46.6
"AL, Madison",2006,Alabama,AL,Madison County,1089,115.3
"AL, Marengo",2006,Alabama,AL,Marengo County,1091,114.1
"AL, Marion",2006,Alabama,AL,Marion County,1093,216.0
"AL, Marshall",2006,Alabama,AL,Marshall County,1095,182.3
