YEAR,STATE_NAME,STATE_ABBREV,STATE_FIPS,opioid_dispensing_rate,Opioid Dispensing Rate (per 100 persons)
2006,Alabama,AL,01,115.6,115.6
2006,Alaska,AK,02,63.4,63.4
2006,Arizona,AZ,04,74.3,74.3
2006,Arkansas,AR,05,98.3,98.3
2006,California,CA,06,51.0,51.0
2006,Colorado,CO,08,62.2,62.2
2006,Connecticut,CT,09,64.7,64.7
2006,Delaware,DE,10,86.6,86.6
2006,District of Columbia,DC,11,31.7,31.7
2006,Florida,FL,12,79.7,79.7
2006,Georgia,GA,13,79.8,79.8
2006,Hawaii,HI,15,42.3,42.3
2006,Idaho,ID,16,75.6,75.6
2006,Illinois,IL,17,55.6,55.6
2006,Indiana,IN,18,94.3,94.3
2006,Iowa,IA,19,59.3,59.3
2006,Kansas,KS,20,77.5,77.5
2006,Kentucky,KY,21,122.6,122.6
2006,Louisiana,LA,22,109.2,109.2
2006,Maine,ME,23,83.6,83.6
2006,Maryland,MD,24,60.1,60.1
2006,Massachusetts,MA,25,66.0,66.0
2006,Michigan,MI,26,80.2,80.2
2006,Minnesota,MN,27,50.3,50.3
2006,Mississippi,MS,28,102.7,102.7
2006,Missouri,MO,29,80.5,80.5
2006,Montana,MT,30,79.1,79.1
2006,Nebraska,NE,31,64.3,64.3
2006,Nevada,NV,32,87.7,87.7
2006,New Hampshire,NH,33,75.0,75.0
2006,New Jersey,NJ,34,54.7,54.7
2006,New Mexico,NM,35,61.8,61.8
2006,New York,NY,36,44.2,44.2
2006,North Carolina,NC,37,85.2,85.2
2006,North Dakota,ND,38,56.0,56.0
2006,Ohio,OH,39,87.7,87.7
2006,Oklahoma,OK,40,108.7,108.7
2006,Oregon,OR,41,91.0,91.0
2006,Pennsylvania,PA,42,69.5,69.5
2006,Rhode Island,RI,44,78.7,78.7
2006,South Carolina,SC,45,90.4,90.4
2006,South Dakota,SD,46,50.0,50.0
2006,Tennessee,TN,47,124.8,124.8
2006,Texas,TX,48,66.8,66.8
2006,Utah,UT,49,87.0,87.0
2006,Vermont,VT,50,56.9,56.9
2006,Virginia,VA,51,67.2,67.2
2006,Washington,WA,53,80.8,80.8
2006,West Virginia,WV,54,129.9,129.9
2006,Wisconsin,WI,55,64.7,64.7
2006,Wyoming,WY,56,79.9,79.9
2007,Alabama,AL,01,120.3,120.3
2007,Alaska,AK,02,66.6,66.6
2007,Arizona,AZ,04,77.8,77.8
2007,Arkansas,AR,05,108.2,108.2
2007,California,CA,06,53.6,53.6
2007,Colorado,CO,08,65.9,65.9
2007,Connecticut,CT,09,67.5,67.5
2007,Delaware,DE,10,92.3,92.3
2007,District of Columbia,DC,11,41.2,41.2
2007,Florida,FL,12,82.2,82.2
2007,Georgia,GA,13,82.5,82.5
2007,Hawaii,HI,15,44.5,44.5
2007,Idaho,ID,16,78.8,78.8
2007,Illinois,IL,17,59.2,59.2
2007,Indiana,IN,18,99.7,99.7
2007,Iowa,IA,19,57.1,57.1
2007,Kansas,KS,20,80.6,80.6
2007,Kentucky,KY,21,130.8,130.8
2007,Louisiana,LA,22,110.1,110.1
2007,Maine,ME,23,85.4,85.4
2007,Maryland,MD,24,63.3,63.3
2007,Massachusetts,MA,25,68.2,68.2
2007,Michigan,MI,26,85.6,85.6
2007,Minnesota,MN,27,53.7,53.7
2007,Mississippi,MS,28,109.9,109.9
2007,Missouri,MO,29,84.3,84.3
2007,Montana,MT,30,81.1,81.1
2007,Nebraska,NE,31,65.1,65.1
2007,Nevada,NV,32,90.2,90.2
2007,New Hampshire,NH,33,78.5,78.5
2007,New Jersey,NJ,34,57.2,57.2
2007,New Mexico,NM,35,69.0,69.0
2007,New York,NY,36,46.1,46.1
2007,North Carolina,NC,37,87.5,87.5
