CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2006
Print
Related Pages
U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2007 >

US County Prescribing Rates, 2006
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2006
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Aleutians East, AK	AK	02013	–
Aleutians West, AK	AK	02016	–
Anchorage, AK	AK	02020	71.5
Bethel, AK	AK	02050	–
Bristol Bay, AK	AK	02060	–
Denali, AK	AK	02068	–
Dillingham, AK	AK	02070	–
Fairbanks North Star, AK	AK	02090	54.7
Haines, AK	AK	02100	–
Hoonah-Angoon, AK	AK	02105	–
Juneau, AK	AK	02110	95.3
Kenai Peninsula, AK	AK	02122	89.1
Ketchikan Gateway, AK	AK	02130	144.4
Kodiak Island, AK	AK	02150	69.4
Lake and Peninsula, AK	AK	02164	–
Matanuska-Susitna, AK	AK	02170	82.5
Nome, AK	AK	02180	–
North Slope, AK	AK	02185	–
Northwest Arctic, AK	AK	02188	–
Petersburg, AK	AK	02195	107.4
Prince of Wales-Hyder, AK	AK	02198	–
Sitka, AK	AK	02220	–
Skagway, AK	AK	02230	–
Southeast Fairbanks, AK	AK	02240	–
Valdez-Cordova, AK	AK	02261	46.5
Wade Hampton, AK	AK	02270	–
Wrangell, AK	AK	02275	–
Yakutat, AK	AK	02282	–
Yukon-Koyukuk, AK	AK	02290	–
Autauga, AL	AL	01001	134.8
Baldwin, AL	AL	01003	127.8
Barbour, AL	AL	01005	78.1
Bibb, AL	AL	01007	114.3
Blount, AL	AL	01009	40.3
Bullock, AL	AL	01011	34.6
Butler, AL	AL	01013	105.4
Calhoun, AL	AL	01015	165.7
Chambers, AL	AL	01017	120.4
Cherokee, AL	AL	01019	123.8
Chilton, AL	AL	01021	109.0
Choctaw, AL	AL	01023	60.2
Clarke, AL	AL	01025	120.6
Clay, AL	AL	01027	114.0
Cleburne, AL	AL	01029	12.6
Coffee, AL	AL	01031	118.6
Colbert, AL	AL	01033	196.8
Conecuh, AL	AL	01035	142.1
Coosa, AL	AL	01037	25.2
Covington, AL	AL	01039	202.1
Crenshaw, AL	AL	01041	93.7
Cullman, AL	AL	01043	140.6
Dale, AL	AL	01045	64.0
Dallas, AL	AL	01047	77.9
DeKalb, AL	AL	01049	50.6
Elmore, AL	AL	01051	83.0
Escambia, AL	AL	01053	116.7
Etowah, AL	AL	01055	126.2
Fayette, AL	AL	01057	78.0
Franklin, AL	AL	01059	160.3
Geneva, AL	AL	01061	30.2
Greene, AL	AL	01063	32.4
Hale, AL	AL	01065	59.3
Henry, AL	AL	01067	41.0
Houston, AL	AL	01069	157.6
Jackson, AL	AL	01071	108.9
Jefferson, AL	AL	01073	119.4
Lamar, AL	AL	01075	53.0
Lauderdale, AL	AL	01077	132.7
Lawrence, AL	AL	01079	45.9
Lee, AL	AL	01081	70.6
Limestone, AL	AL	01083	60.0
Lowndes, AL	AL	01085	9.1
Macon, AL	AL	01087	46.6
Madison, AL	AL	01089	115.3
Marengo, AL	AL	01091	114.1
Marion, AL	AL	01093	216.0
Marshall, AL	AL	01095	182.3
Mobile, AL	AL	01097	127.7
Monroe, AL	AL	01099	134.3
Montgomery, AL	AL	01101	97.5
Morgan, AL	AL	01103	151.8
Perry, AL	AL	01105	–
Pickens, AL	AL	01107	85.5
Pike, AL	AL	01109	88.3
Randolph, AL	AL	01111	56.4
Russell, AL	AL	01113	139.5
St. Clair, AL	AL	01115	79.1
Shelby, AL	AL	01117	110.4
Sumter, AL	AL	01119	39.0
Talladega, AL	AL	01121	111.6
Tallapoosa, AL	AL	01123	82.9
Tuscaloosa, AL	AL	01125	105.1
Walker, AL	AL	01127	304.1
Washington, AL	AL	01129	37.8
Wilcox, AL	AL	01131	45.4
Winston, AL	AL	01133	121.4
Arkansas, AR	AR	05001	64.3
Ashley, AR	AR	05003	89.7
Baxter, AR	AR	05005	120.9
Benton, AR	AR	05007	81.9
Boone, AR	AR	05009	152.4
Bradley, AR	AR	05011	109.0
Calhoun, AR	AR	05013	73.7
Carroll, AR	AR	05015	32.7
Chicot, AR	AR	05017	50.9
Clark, AR	AR	05019	59.9
Clay, AR	AR	05021	45.4
Cleburne, AR	AR	05023	91.1
Cleveland, AR	AR	05025	–
Columbia, AR	AR	05027	89.9
Conway, AR	AR	05029	36.8
Craighead, AR	AR	05031	166.1
Crawford, AR	AR	05033	118.8
Crittenden, AR	AR	05035	103.2
Cross, AR	AR	05037	71.5
Dallas, AR	AR	05039	78.4
Desha, AR	AR	05041	143.1
Drew, AR	AR	05043	63.1
Faulkner, AR	AR	05045	96.9
Franklin, AR	AR	05047	13.8
Fulton, AR	AR	05049	43.6
Garland, AR	AR	05051	177.4
Grant, AR	AR	05053	22.4
Greene, AR	AR	05055	153.9
Hempstead, AR	AR	05057	92.2
Hot Spring, AR	AR	05059	85.2
Howard, AR	AR	05061	118.0
Independence, AR	AR	05063	171.7
Izard, AR	AR	05065	64.4
Jackson, AR	AR	05067	133.8
Jefferson, AR	AR	05069	82.8
Johnson, AR	AR	05071	26.4
Lafayette, AR	AR	05073	–
Lawrence, AR	AR	05075	28.6
Lee, AR	AR	05077	–
Lincoln, AR	AR	05079	32.9
Little River, AR	AR	05081	82.0
Logan, AR	AR	05083	43.4
Lonoke, AR	AR	05085	67.5
Madison, AR	AR	05087	60.7
Marion, AR	AR	05089	47.9
Miller, AR	AR	05091	54.2
Mississippi, AR	AR	05093	106.2
Monroe, AR	AR	05095	50.7
Montgomery, AR	AR	05097	60.1
Nevada, AR	AR	05099	–
Newton, AR	AR	05101	–
