CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2007
Print
Related Pages
< U.S. County Opioid Dispensing Rates, 2006

U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2008 >

US County Dispensing Rates, 2007
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2007
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Aleutians East, AK	AK	02013	–
Aleutians West, AK	AK	02016	–
Anchorage, AK	AK	02020	75.5
Bethel, AK	AK	02050	–
Bristol Bay, AK	AK	02060	–
Denali, AK	AK	02068	–
Dillingham, AK	AK	02070	–
Fairbanks North Star, AK	AK	02090	58.3
Haines, AK	AK	02100	–
Hoonah-Angoon, AK	AK	02105	–
Juneau, AK	AK	02110	95.5
Kenai Peninsula, AK	AK	02122	91.0
Ketchikan Gateway, AK	AK	02130	135.0
Kodiak Island, AK	AK	02150	83.8
Lake and Peninsula, AK	AK	02164	–
Matanuska-Susitna, AK	AK	02170	88.3
Nome, AK	AK	02180	–
North Slope, AK	AK	02185	–
Northwest Arctic, AK	AK	02188	–
Petersburg, AK	AK	02195	89.3
Prince of Wales-Hyder, AK	AK	02198	–
Sitka, AK	AK	02220	–
Skagway, AK	AK	02230	–
Southeast Fairbanks, AK	AK	02240	–
Valdez-Cordova, AK	AK	02261	55.0
Wade Hampton, AK	AK	02270	–
Wrangell, AK	AK	02275	29.0
Yakutat, AK	AK	02282	–
Yukon-Koyukuk, AK	AK	02290	–
Autauga, AL	AL	01001	135.8
Baldwin, AL	AL	01003	133.2
Barbour, AL	AL	01005	72.7
Bibb, AL	AL	01007	116.1
Blount, AL	AL	01009	44.6
Bullock, AL	AL	01011	37.7
Butler, AL	AL	01013	102.0
Calhoun, AL	AL	01015	173.4
Chambers, AL	AL	01017	133.8
Cherokee, AL	AL	01019	137.5
Chilton, AL	AL	01021	111.9
Choctaw, AL	AL	01023	99.8
Clarke, AL	AL	01025	126.1
Clay, AL	AL	01027	118.6
Cleburne, AL	AL	01029	23.9
Coffee, AL	AL	01031	118.4
Colbert, AL	AL	01033	215.3
Conecuh, AL	AL	01035	156.9
Coosa, AL	AL	01037	32.7
Covington, AL	AL	01039	206.9
Crenshaw, AL	AL	01041	100.6
Cullman, AL	AL	01043	150.6
Dale, AL	AL	01045	61.5
Dallas, AL	AL	01047	84.6
DeKalb, AL	AL	01049	45.2
Elmore, AL	AL	01051	88.6
Escambia, AL	AL	01053	105.5
Etowah, AL	AL	01055	133.2
Fayette, AL	AL	01057	85.8
Franklin, AL	AL	01059	144.7
Geneva, AL	AL	01061	23.5
Greene, AL	AL	01063	40.7
Hale, AL	AL	01065	63.4
Henry, AL	AL	01067	39.3
Houston, AL	AL	01069	167.1
Jackson, AL	AL	01071	110.7
Jefferson, AL	AL	01073	123.7
Lamar, AL	AL	01075	52.1
Lauderdale, AL	AL	01077	132.4
Lawrence, AL	AL	01079	48.3
Lee, AL	AL	01081	72.6
Limestone, AL	AL	01083	59.3
Lowndes, AL	AL	01085	10.4
Macon, AL	AL	01087	55.9
Madison, AL	AL	01089	119.6
Marengo, AL	AL	01091	120.2
Marion, AL	AL	01093	221.3
Marshall, AL	AL	01095	190.8
Mobile, AL	AL	01097	135.6
Monroe, AL	AL	01099	132.3
Montgomery, AL	AL	01101	105.3
Morgan, AL	AL	01103	154.8
Perry, AL	AL	01105	–
Pickens, AL	AL	01107	116.7
Pike, AL	AL	01109	101.6
Randolph, AL	AL	01111	58.3
Russell, AL	AL	01113	146.7
St. Clair, AL	AL	01115	79.2
Shelby, AL	AL	01117	114.2
Sumter, AL	AL	01119	43.0
Talladega, AL	AL	01121	120.6
Tallapoosa, AL	AL	01123	85.2
Tuscaloosa, AL	AL	01125	107.0
Walker, AL	AL	01127	306.5
Washington, AL	AL	01129	37.9
Wilcox, AL	AL	01131	50.9
Winston, AL	AL	01133	124.1
Arkansas, AR	AR	05001	28.4
Ashley, AR	AR	05003	102.2
Baxter, AR	AR	05005	155.4
Benton, AR	AR	05007	89.4
Boone, AR	AR	05009	164.7
Bradley, AR	AR	05011	136.7
Calhoun, AR	AR	05013	90.5
Carroll, AR	AR	05015	47.6
Chicot, AR	AR	05017	–
Clark, AR	AR	05019	67.8
Clay, AR	AR	05021	51.7
Cleburne, AR	AR	05023	119.7
Cleveland, AR	AR	05025	–
Columbia, AR	AR	05027	90.4
Conway, AR	AR	05029	40.2
Craighead, AR	AR	05031	174.1
Crawford, AR	AR	05033	120.4
Crittenden, AR	AR	05035	105.4
Cross, AR	AR	05037	92.0
Dallas, AR	AR	05039	94.8
Desha, AR	AR	05041	122.0
Drew, AR	AR	05043	67.8
Faulkner, AR	AR	05045	110.2
Franklin, AR	AR	05047	23.6
Fulton, AR	AR	05049	46.5
Garland, AR	AR	05051	188.2
Grant, AR	AR	05053	29.5
Greene, AR	AR	05055	188.7
Hempstead, AR	AR	05057	107.0
Hot Spring, AR	AR	05059	99.2
Howard, AR	AR	05061	135.9
Independence, AR	AR	05063	175.5
Izard, AR	AR	05065	114.4
Jackson, AR	AR	05067	153.9
Jefferson, AR	AR	05069	85.6
Johnson, AR	AR	05071	31.3
Lafayette, AR	AR	05073	–
Lawrence, AR	AR	05075	35.0
Lee, AR	AR	05077	–
Lincoln, AR	AR	05079	30.7
Little River, AR	AR	05081	91.4
Logan, AR	AR	05083	47.3
Lonoke, AR	AR	05085	83.2
Madison, AR	AR	05087	55.1
Marion, AR	AR	05089	52.4
Miller, AR	AR	05091	60.1
Mississippi, AR	AR	05093	110.7
Monroe, AR	AR	05095	51.6
Montgomery, AR	AR	05097	80.8
Nevada, AR	AR	05099	–
