CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2017
Print
Related Pages
< U.S. County Opioid Dispensing Rates, 2016

U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2018 >

U.S. County Prescribing Rates, 2017
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2017
State	County	County FIPS Code	Opioid Dispensing Rate per 100
AK	ANCHORAGE	2020	59.7
AK	FAIRBANKS NORTH STAR	2090	42.5
AK	JUNEAU	2110	66.3
AK	KENAI PENINSULA	2122	82.7
AK	KETCHIKAN GATEWAY	2130	76.5
AK	KODIAK ISLAND	2150	28.4
AK	MATANUSKA SUSITNA	2170	69.2
AK	PETERSBURG	2195	64.2
AK	PRINCE OF WALES HYDER	2198	38.9
AK	SITKA	2220	7.3
AK	VALDEZ CORDOVA	2261	38.0
AK	WRANGELL	2275	0.2
AL	AUTAUGA	1001	113.3
AL	BALDWIN	1003	107.1
AL	BARBOUR	1005	90.5
AL	BIBB	1007	91.1
AL	BLOUNT	1009	50.4
AL	BULLOCK	1011	20.4
AL	BUTLER	1013	119.6
AL	CALHOUN	1015	140.9
AL	CHAMBERS	1017	127.2
AL	CHEROKEE	1019	135.1
AL	CHILTON	1021	107.4
AL	CHOCTAW	1023	91.5
AL	CLARKE	1025	156.1
AL	CLAY	1027	117.4
AL	CLEBURNE	1029	47.8
AL	COFFEE	1031	121.5
AL	COLBERT	1033	188.0
AL	CONECUH	1035	88.6
AL	COOSA	1037	24.1
AL	COVINGTON	1039	147.5
AL	CRENSHAW	1041	80.9
AL	CULLMAN	1043	144.7
AL	DALE	1045	69.4
AL	DALLAS	1047	102.1
AL	DE KALB	1049	105.0
AL	ELMORE	1051	113.6
AL	ESCAMBIA	1053	156.5
AL	ETOWAH	1055	132.5
AL	FAYETTE	1057	113.6
AL	FRANKLIN	1059	184.9
AL	GENEVA	1061	44.1
AL	GREENE	1063	53.9
AL	HALE	1065	99.3
AL	HENRY	1067	26.5
AL	HOUSTON	1069	136.4
AL	JACKSON	1071	142.9
AL	JEFFERSON	1073	105.1
AL	LAMAR	1075	81.2
AL	LAUDERDALE	1077	112.8
AL	LAWRENCE	1079	101.8
AL	LEE	1081	58.7
AL	LIMESTONE	1083	69.4
AL	LOWNDES	1085	0.4
AL	MACON	1087	45.5
AL	MADISON	1089	101.1
AL	MARENGO	1091	130.1
AL	MARION	1093	164.7
AL	MARSHALL	1095	166.6
AL	MOBILE	1097	119.3
AL	MONROE	1099	125.3
AL	MONTGOMERY	1101	84.9
AL	MORGAN	1103	117.8
AL	PERRY	1105	3.6
AL	PICKENS	1107	71.5
AL	PIKE	1109	99.7
AL	RANDOLPH	1111	100.0
AL	RUSSELL	1113	103.1
AL	SAINT CLAIR	1115	106.9
AL	SHELBY	1117	90.4
AL	SUMTER	1119	37.5
AL	TALLADEGA	1121	124.3
AL	TALLAPOOSA	1123	100.8
AL	TUSCALOOSA	1125	100.4
AL	WALKER	1127	218.8
AL	WASHINGTON	1129	52.4
AL	WILCOX	1131	56.6
AL	WINSTON	1133	159.8
AR	ARKANSAS	5001	125.1
AR	ASHLEY	5003	110.1
AR	BAXTER	5005	133.3
AR	BENTON	5007	78.8
AR	BOONE	5009	140.8
AR	BRADLEY	5011	108.8
AR	CALHOUN	5013	78.2
AR	CARROLL	5015	79.3
AR	CHICOT	5017	79.3
AR	CLARK	5019	94.6
AR	CLAY	5021	117.7
AR	CLEBURNE	5023	111.6
AR	CLEVELAND	5025	0.8
AR	COLUMBIA	5027	99.8
AR	CONWAY	5029	124.5
AR	CRAIGHEAD	5031	144.4
AR	CRAWFORD	5033	145.6
AR	CRITTENDEN	5035	105.4
AR	CROSS	5037	109.1
AR	DALLAS	5039	77.1
AR	DESHA	5041	131.1
AR	DREW	5043	126.4
AR	FAULKNER	5045	90.0
AR	FRANKLIN	5047	19.1
AR	FULTON	5049	109.6
AR	GARLAND	5051	157.9
AR	GRANT	5053	73.9
AR	GREENE	5055	172.5
AR	HEMPSTEAD	5057	114.5
AR	HOT SPRING	5059	96.8
AR	HOWARD	5061	148.1
AR	INDEPENDENCE	5063	149.7
AR	IZARD	5065	99.8
AR	JACKSON	5067	135.1
AR	JEFFERSON	5069	102.4
AR	JOHNSON	5071	109.9
AR	LAFAYETTE	5073	110.4
AR	LAWRENCE	5075	35.1
AR	LEE	5077	67.7
AR	LINCOLN	5079	60.6
AR	LITTLE RIVER	5081	154.9
AR	LOGAN	5083	37.2
AR	LONOKE	5085	94.9
AR	MADISON	5087	80.0
AR	MARION	5089	77.4
AR	MILLER	5091	101.9
AR	MISSISSIPPI	5093	136.2
AR	MONROE	5095	85.6
AR	MONTGOMERY	5097	82.5
AR	NEWTON	5101	1.0
AR	OUACHITA	5103	137.9
AR	PERRY	5105	27.9
AR	PHILLIPS	5107	160.7
AR	PIKE	5109	85.9
AR	POINSETT	5111	121.2
AR	POLK	5113	104.9
AR	POPE	5115	111.2
AR	PRAIRIE	5117	76.2
AR	PULASKI	5119	98.3
AR	RANDOLPH	5121	103.8
AR	SAINT FRANCIS	5123	88.4
AR	SALINE	5125	92.4
AR	SCOTT	5127	115.8
AR	SEARCY	5129	79.7
AR	SEBASTIAN	5131	155.0
AR	SEVIER	5133	56.6
AR	SHARP	5135	131.8
AR	STONE	5137	153.0
AR	UNION	5139	117.8
AR	VAN BUREN	5141	101.8
AR	WASHINGTON	5143	91.5
AR	WHITE	5145	116.9
AR	WOODRUFF	5147	2.7
AR	YELL	5149	56.7
AZ	APACHE	4001	18.6
AZ	COCHISE	4003	68.5
AZ	COCONINO	4005	42.2
AZ	GILA	4007	87.2
AZ	GRAHAM	4009	74.0
AZ	GREENLEE	4011	0.0
AZ	LA PAZ	4012	66.0
AZ	MARICOPA	4013	58.8
AZ	MOHAVE	4015	113.2
AZ	NAVAJO	4017	65.4
AZ	PIMA	4019	64.7
AZ	PINAL	4021	49.6
AZ	SANTA CRUZ	4023	21.3
AZ	YAVAPAI	4025	86.9
AZ	YUMA	4027	47.4
CA	ALAMEDA	6001	26.2
CA	AMADOR	6005	99.0
CA	BUTTE	6007	105.6
CA	CALAVERAS	6009	69.9
CA	COLUSA	6011	34.6
CA	CONTRA COSTA	6013	35.9
CA	DEL NORTE	6015	117.3
CA	EL DORADO	6017	55.0
CA	FRESNO	6019	52.9
CA	GLENN	6021	79.0
CA	HUMBOLDT	6023	77.5
CA	IMPERIAL	6025	48.8
CA	INYO	6027	50.0
CA	KERN	6029	55.0
CA	KINGS	6031	58.8
CA	LAKE	6033	95.1
CA	LASSEN	6035	66.2
CA	LOS ANGELES	6037	30.3
CA	MADERA	6039	42.3
CA	MARIN	6041	32.5
CA	MARIPOSA	6043	55.7
CA	MENDOCINO	6045	90.5
CA	MERCED	6047	56.6
CA	MODOC	6049	81.3
CA	MONO	6051	44.5
CA	MONTEREY	6053	44.1
CA	NAPA	6055	35.5
