STATE_ABBREV,source_fips,target_fips,weight,source_name,target_name
AK,2020,2150,1.0,Anchorage Municipality,Kodiak Island Borough
AK,2110,2150,1.0,Juneau City and Borough,Kodiak Island Borough
AK,2122,2150,1.0,Kenai Peninsula Borough,Kodiak Island Borough
AK,2130,2150,1.0,Ketchikan Gateway Borough,Kodiak Island Borough
AK,2170,2150,1.0,Matanuska-Susitna Borough,Kodiak Island Borough
AK,2195,2150,1.0,Petersburg Borough,Kodiak Island Borough
AK,2150,2195,0.5,Kodiak Island Borough,Petersburg Borough
AK,2020,2195,0.3333333333333333,Anchorage Municipality,Petersburg Borough
AK,2110,2195,0.3333333333333333,Juneau City and Borough,Petersburg Borough
AK,2122,2195,0.3333333333333333,Kenai Peninsula Borough,Petersburg Borough
AK,2130,2195,0.3333333333333333,Ketchikan Gateway Borough,Petersburg Borough
AK,2170,2195,0.3333333333333333,Matanuska-Susitna Borough,Petersburg Borough
AL,1003,1027,1.25,Baldwin County,Clay County
AL,1055,1027,1.25,Etowah County,Clay County
AL,1077,1027,1.25,Lauderdale County,Clay County
AL,1013,1071,1.2,Butler County,Jackson County
AL,1017,1099,1.1666666666666667,Chambers County,Monroe County
AL,1019,1099,1.1666666666666667,Cherokee County,Monroe County
AL,1097,1099,1.1666666666666667,Mobile County,Monroe County
AL,1001,1017,1.0,Autauga County,Chambers County
AL,1001,1019,1.0,Autauga County,Cherokee County
AL,1001,1097,1.0,Autauga County,Mobile County
AL,1015,1017,1.0,Calhoun County,Chambers County
AL,1015,1019,1.0,Calhoun County,Cherokee County
AL,1015,1097,1.0,Calhoun County,Mobile County
AL,1033,1017,1.0,Colbert County,Chambers County
AL,1033,1019,1.0,Colbert County,Cherokee County
AL,1033,1097,1.0,Colbert County,Mobile County
AL,1035,1017,1.0,Conecuh County,Chambers County
AL,1035,1019,1.0,Conecuh County,Cherokee County
AL,1035,1097,1.0,Conecuh County,Mobile County
AL,1039,1017,1.0,Covington County,Chambers County
AL,1039,1019,1.0,Covington County,Cherokee County
AL,1039,1097,1.0,Covington County,Mobile County
AL,1043,1017,1.0,Cullman County,Chambers County
AL,1043,1019,1.0,Cullman County,Cherokee County
AL,1043,1097,1.0,Cullman County,Mobile County
AL,1059,1017,1.0,Franklin County,Chambers County
AL,1059,1019,1.0,Franklin County,Cherokee County
AL,1059,1097,1.0,Franklin County,Mobile County
AL,1069,1017,1.0,Houston County,Chambers County
AL,1069,1019,1.0,Houston County,Cherokee County
AL,1069,1097,1.0,Houston County,Mobile County
AL,1093,1017,1.0,Marion County,Chambers County
AL,1093,1019,1.0,Marion County,Cherokee County
AL,1093,1097,1.0,Marion County,Mobile County
AL,1095,1017,1.0,Marshall County,Chambers County
AL,1095,1019,1.0,Marshall County,Cherokee County
AL,1095,1097,1.0,Marshall County,Mobile County
AL,1099,1017,1.0,Monroe County,Chambers County
AL,1099,1019,1.0,Monroe County,Cherokee County
AL,1099,1097,1.0,Monroe County,Mobile County
AL,1103,1017,1.0,Morgan County,Chambers County
AL,1103,1019,1.0,Morgan County,Cherokee County
AL,1103,1097,1.0,Morgan County,Mobile County
AL,1113,1017,1.0,Russell County,Chambers County
AL,1113,1019,1.0,Russell County,Cherokee County
AL,1113,1097,1.0,Russell County,Mobile County
AL,1127,1017,1.0,Walker County,Chambers County
AL,1127,1019,1.0,Walker County,Cherokee County
AL,1127,1097,1.0,Walker County,Mobile County
AL,1017,1003,1.0,Chambers County,Baldwin County
AL,1017,1055,1.0,Chambers County,Etowah County
AL,1017,1077,1.0,Chambers County,Lauderdale County
AL,1019,1003,1.0,Cherokee County,Baldwin County
AL,1019,1055,1.0,Cherokee County,Etowah County
AL,1019,1077,1.0,Cherokee County,Lauderdale County
AL,1097,1003,1.0,Mobile County,Baldwin County
AL,1097,1055,1.0,Mobile County,Etowah County
AL,1097,1077,1.0,Mobile County,Lauderdale County
AL,1003,1025,1.0,Baldwin County,Clarke County
AL,1003,1053,1.0,Baldwin County,Escambia County
AL,1003,1073,1.0,Baldwin County,Jefferson County
AL,1003,1121,1.0,Baldwin County,Talladega County
AL,1055,1025,1.0,Etowah County,Clarke County
AL,1055,1053,1.0,Etowah County,Escambia County
AL,1055,1073,1.0,Etowah County,Jefferson County
AL,1055,1121,1.0,Etowah County,Talladega County
AL,1077,1025,1.0,Lauderdale County,Clarke County
AL,1077,1053,1.0,Lauderdale County,Escambia County
AL,1077,1073,1.0,Lauderdale County,Jefferson County
AL,1077,1121,1.0,Lauderdale County,Talladega County
AL,1025,1031,1.0,Clarke County,Coffee County
AL,1025,1133,1.0,Clarke County,Winston County
AL,1027,1031,1.0,Clay County,Coffee County
AL,1027,1133,1.0,Clay County,Winston County
AL,1053,1031,1.0,Escambia County,Coffee County
AL,1053,1133,1.0,Escambia County,Winston County
AL,1073,1031,1.0,Jefferson County,Coffee County
AL,1073,1133,1.0,Jefferson County,Winston County
AL,1121,1031,1.0,Talladega County,Coffee County
AL,1121,1133,1.0,Talladega County,Winston County
AL,1031,1013,1.0,Coffee County,Butler County
AL,1133,1013,1.0,Winston County,Butler County
AL,1013,1027,1.0,Butler County,Clay County
AL,1013,1051,1.0,Butler County,Elmore County
AL,1013,1091,1.0,Butler County,Marengo County
AL,1013,1111,1.0,Butler County,Randolph County
AL,1051,1021,1.0,Elmore County,Chilton County
AL,1051,1057,1.0,Elmore County,Fayette County
AL,1051,1099,1.0,Elmore County,Monroe County
AL,1071,1021,1.0,Jackson County,Chilton County
AL,1071,1057,1.0,Jackson County,Fayette County
AL,1071,1099,1.0,Jackson County,Monroe County
AL,1091,1021,1.0,Marengo County,Chilton County
AL,1091,1057,1.0,Marengo County,Fayette County
AL,1091,1099,1.0,Marengo County,Monroe County
AL,1111,1021,1.0,Randolph County,Chilton County
AL,1111,1057,1.0,Randolph County,Fayette County
AL,1111,1099,1.0,Randolph County,Monroe County
AL,1021,1023,1.0,Chilton County,Choctaw County
AL,1021,1079,1.0,Chilton County,Lawrence County
AL,1057,1023,1.0,Fayette County,Choctaw County
AL,1057,1079,1.0,Fayette County,Lawrence County
AL,1017,1027,0.7,Chambers County,Clay County
AL,1019,1027,0.7,Cherokee County,Clay County
AL,1097,1027,0.7,Mobile County,Clay County
AL,1133,1071,0.6666666666666666,Winston County,Jackson County
AL,1001,1099,0.6428571428571428,Autauga County,Monroe County
AL,1015,1099,0.6428571428571428,Calhoun County,Monroe County
AL,1033,1099,0.6428571428571428,Colbert County,Monroe County
AL,1035,1099,0.6428571428571428,Conecuh County,Monroe County
AL,1039,1099,0.6428571428571428,Covington County,Monroe County
AL,1043,1099,0.6428571428571428,Cullman County,Monroe County
AL,1059,1099,0.6428571428571428,Franklin County,Monroe County
AL,1069,1099,0.6428571428571428,Houston County,Monroe County
AL,1093,1099,0.6428571428571428,Marion County,Monroe County
AL,1095,1099,0.6428571428571428,Marshall County,Monroe County
AL,1103,1099,0.6428571428571428,Morgan County,Monroe County
AL,1113,1099,0.6428571428571428,Russell County,Monroe County
AL,1127,1099,0.6428571428571428,Walker County,Monroe County
AL,1133,1091,0.625,Winston County,Marengo County
AL,1001,1003,0.5,Autauga County,Baldwin County
AL,1001,1055,0.5,Autauga County,Etowah County
AL,1001,1077,0.5,Autauga County,Lauderdale County
AL,1015,1003,0.5,Calhoun County,Baldwin County
AL,1015,1055,0.5,Calhoun County,Etowah County
AL,1015,1077,0.5,Calhoun County,Lauderdale County
AL,1033,1003,0.5,Colbert County,Baldwin County
AL,1033,1055,0.5,Colbert County,Etowah County
AL,1033,1077,0.5,Colbert County,Lauderdale County
AL,1035,1003,0.5,Conecuh County,Baldwin County
AL,1035,1055,0.5,Conecuh County,Etowah County
AL,1035,1077,0.5,Conecuh County,Lauderdale County
AL,1039,1003,0.5,Covington County,Baldwin County
AL,1039,1055,0.5,Covington County,Etowah County
AL,1039,1077,0.5,Covington County,Lauderdale County
AL,1043,1003,0.5,Cullman County,Baldwin County
AL,1043,1055,0.5,Cullman County,Etowah County
AL,1043,1077,0.5,Cullman County,Lauderdale County
AL,1059,1003,0.5,Franklin County,Baldwin County
AL,1059,1055,0.5,Franklin County,Etowah County
AL,1059,1077,0.5,Franklin County,Lauderdale County
AL,1069,1003,0.5,Houston County,Baldwin County
AL,1069,1055,0.5,Houston County,Etowah County
AL,1069,1077,0.5,Houston County,Lauderdale County
AL,1093,1003,0.5,Marion County,Baldwin County
AL,1093,1055,0.5,Marion County,Etowah County
AL,1093,1077,0.5,Marion County,Lauderdale County
AL,1095,1003,0.5,Marshall County,Baldwin County
