FIPS,COUNTY_NAME,STATE_ABBREV,county_adoption_year,state_adoption_year,years_early
30105,Valley County,MT,2006,2012.0,6.0
30093,Silver Bow County,MT,2006,2012.0,6.0
30063,Missoula County,MT,2006,2012.0,6.0
30053,Lincoln County,MT,2006,2012.0,6.0
30029,Flathead County,MT,2006,2012.0,6.0
30023,Deer Lodge County,MT,2006,2012.0,6.0
30017,Custer County,MT,2006,2012.0,6.0
30013,Cascade County,MT,2006,2012.0,6.0
20129,Morton County,KS,2006,2011.0,5.0
20051,Ellis County,KS,2006,2011.0,5.0
20125,Montgomery County,KS,2006,2011.0,5.0
20099,Labette County,KS,2006,2011.0,5.0
20079,Harvey County,KS,2006,2011.0,5.0
20071,Greeley County,KS,2006,2011.0,5.0
20065,Graham County,KS,2006,2011.0,5.0
20057,Ford County,KS,2006,2011.0,5.0
20035,Cowley County,KS,2006,2011.0,5.0
20039,Decatur County,KS,2006,2011.0,5.0
20037,Crawford County,KS,2006,2011.0,5.0
20157,Republic County,KS,2006,2011.0,5.0
20031,Coffey County,KS,2006,2011.0,5.0
20015,Butler County,KS,2006,2011.0,5.0
20009,Barton County,KS,2006,2011.0,5.0
20005,Atchison County,KS,2006,2011.0,5.0
20151,Pratt County,KS,2006,2011.0,5.0
20169,Saline County,KS,2006,2011.0,5.0
20193,Thomas County,KS,2006,2011.0,5.0
30041,Hill County,MT,2007,2012.0,5.0
30111,Yellowstone County,MT,2007,2012.0,5.0
20171,Scott County,KS,2006,2011.0,5.0
20173,Sedgwick County,KS,2006,2011.0,5.0
20175,Seward County,KS,2006,2011.0,5.0
20177,Shawnee County,KS,2006,2011.0,5.0
20183,Smith County,KS,2006,2011.0,5.0
30089,Sanders County,MT,2007,2012.0,5.0
20195,Trego County,KS,2006,2011.0,5.0
20205,Wilson County,KS,2006,2011.0,5.0
30021,Dawson County,MT,2007,2012.0,5.0
16069,Nez Perce County,ID,2006,2010.0,4.0
16021,Boundary County,ID,2006,2010.0,4.0
16061,Lewis County,ID,2006,2010.0,4.0
16035,Clearwater County,ID,2006,2010.0,4.0
16083,Twin Falls County,ID,2006,2010.0,4.0
16055,Kootenai County,ID,2006,2010.0,4.0
16031,Cassia County,ID,2006,2010.0,4.0
16045,Gem County,ID,2006,2010.0,4.0
16041,Franklin County,ID,2006,2010.0,4.0
16079,Shoshone County,ID,2006,2010.0,4.0
4007,Gila County,AZ,2006,2010.0,4.0
16085,Valley County,ID,2006,2010.0,4.0
20007,Barber County,KS,2007,2011.0,4.0
20011,Bourbon County,KS,2007,2011.0,4.0
20059,Franklin County,KS,2007,2011.0,4.0
16007,Bear Lake County,ID,2006,2010.0,4.0
20141,Osborne County,KS,2007,2011.0,4.0
4009,Graham County,AZ,2006,2010.0,4.0
20181,Sherman County,KS,2007,2011.0,4.0
30091,Sheridan County,MT,2008,2012.0,4.0
