STATE_ABBREV,rank_in_state,FIPS,COUNTY_NAME,influence_score,eigenvector_centrality
AK,1,2020,Anchorage Municipality,1.3333333333333333,1.4661765410739008e-23
AK,2,2122,Kenai Peninsula Borough,1.3333333333333333,1.4661765410739008e-23
AK,3,2170,Matanuska-Susitna Borough,1.3333333333333333,1.4661765410739008e-23
AK,4,2130,Ketchikan Gateway Borough,1.3333333333333333,1.4661765410739008e-23
AK,5,2110,Juneau City and Borough,1.3333333333333333,1.4661765410739008e-23
AK,6,2195,Petersburg Borough,1.0,1.7195583406852072e-18
AK,7,2150,Kodiak Island Borough,0.5,2.4318775284748826e-18
AL,1,1019,Cherokee County,9.40440115440115,1.0947979499294458e-09
AL,2,1017,Chambers County,9.31349206349206,1.0947979499294458e-09
AL,3,1097,Mobile County,9.31349206349206,1.0947979499294458e-09
AL,4,1095,Marshall County,9.215750915750911,1.4661765410739008e-23
AL,5,1033,Colbert County,9.215750915750911,1.4661765410739008e-23
AL,6,1059,Franklin County,9.215750915750911,1.4661765410739008e-23
AL,7,1039,Covington County,9.215750915750911,1.4661765410739008e-23
AL,8,1127,Walker County,9.215750915750911,1.4661765410739008e-23
AL,9,1093,Marion County,9.215750915750911,1.4661765410739008e-23
AL,10,1069,Houston County,9.061904761904758,2.0802785428689368e-10
AR,1,5031,Craighead County,12.8116165697048,1.4661765410739008e-23
AR,2,5063,Independence County,12.8116165697048,1.4661765410739008e-23
AR,3,5131,Sebastian County,12.752793040293035,2.1650506781609563e-08
AR,4,5051,Garland County,12.7491165697048,2.3407765303481037e-08
AR,5,5055,Greene County,12.690293040293035,1.4661765410739008e-23
AR,6,5107,Phillips County,12.690293040293035,1.4661765410739008e-23
AR,7,5009,Boone County,12.690293040293035,1.4661765410739008e-23
AR,8,5005,Baxter County,12.58084733893557,1.3790967326881694e-07
AR,9,5067,Jackson County,12.459523809523803,1.4661765410739008e-23
AR,10,5115,Pope County,12.459523809523803,1.4661765410739008e-23
AZ,1,4015,Mohave County,0.75,1.4661765410739008e-23
AZ,2,4007,Gila County,0.75,1.4661765410739008e-23
AZ,3,4019,Pima County,0.75,1.4661765410739008e-23
AZ,4,4009,Graham County,0.75,1.4661765410739008e-23
AZ,5,4025,Yavapai County,0.75,1.4661765410739008e-23
AZ,6,4013,,0.0,3.628786939157904e-22
AZ,7,4003,,0.0,3.628786939157904e-22
AZ,8,4012,,0.0,3.628786939157904e-22
CA,1,6049,Modoc County,4.05,1.4661765410739008e-23
CA,2,6045,Mendocino County,4.05,1.4661765410739008e-23
CA,3,6109,Tuolumne County,4.05,1.4661765410739008e-23
CA,4,6063,Plumas County,4.05,1.4661765410739008e-23
CA,5,6089,Shasta County,4.05,1.4661765410739008e-23
CA,6,6103,Tehama County,4.05,1.4661765410739008e-23
CA,7,6101,Sutter County,4.05,1.4661765410739008e-23
CA,8,6099,Stanislaus County,4.05,1.4661765410739008e-23
CA,9,6057,Nevada County,4.05,1.4661765410739008e-23
CA,10,6093,Siskiyou County,4.05,1.4661765410739008e-23
CO,1,8045,Garfield County,9.976190476190473,1.4661765410739008e-23
CO,2,8071,Las Animas County,9.976190476190473,1.4661765410739008e-23
CO,3,8077,Mesa County,9.976190476190473,1.4661765410739008e-23
CO,4,8081,Moffat County,9.976190476190473,1.4661765410739008e-23
CO,5,8085,Montrose County,9.976190476190473,1.4661765410739008e-23
CO,6,8089,Otero County,9.976190476190473,1.4661765410739008e-23
CO,7,8029,Delta County,9.976190476190473,1.4661765410739008e-23
CO,8,8003,Alamosa County,9.976190476190473,1.4661765410739008e-23
CO,9,8101,Pueblo County,9.976190476190473,1.4661765410739008e-23
CO,10,8015,Chaffee County,9.976190476190473,1.4661765410739008e-23
CT,1,9005,Litchfield County,1.3333333333333333,2.235919225137698e-22
