source,target,weight
AK,CA,1
AK,MN,1
AK,NY,1
AK,SD,1
AK,VT,1
AL,CA,1
AL,MN,1
AL,NY,1
AL,SD,1
AL,VT,1
AR,CA,1
AR,MN,1
AR,NY,1
AR,SD,1
AR,VT,1
AZ,CA,1
AZ,MN,1
AZ,NY,1
AZ,SD,1
AZ,VT,1
CA,NY,1
CA,SD,1
CA,VT,1
CO,CA,1
CO,MN,1
CO,NY,1
CO,SD,1
CO,VT,1
CT,CA,1
CT,MN,1
CT,NY,1
CT,SD,1
CT,VT,1
DE,CA,1
DE,MN,1
DE,NY,1
DE,SD,1
DE,VT,1
FL,CA,1
FL,MN,1
FL,NY,1
FL,SD,1
FL,VT,1
GA,CA,1
GA,MN,1
GA,NY,1
GA,SD,1
GA,VT,1
IA,CA,1
IA,MN,1
IA,NY,1
IA,SD,1
IA,VT,1
ID,CA,1
ID,MN,1
ID,NY,1
ID,SD,1
ID,VT,1
IL,CA,1
IL,MN,1
IL,NY,1
IL,SD,1
IL,VT,1
IN,CA,1
IN,MN,1
IN,NY,1
IN,SD,1
IN,VT,1
KS,CA,1
KS,MN,1
KS,NY,1
KS,SD,1
KS,VT,1
KY,CA,1
KY,MN,1
KY,NY,1
KY,SD,1
KY,VT,1
LA,CA,1
LA,MN,1
LA,NY,1
LA,SD,1
LA,VT,1
MA,CA,1
MA,MN,1
MA,NY,1
MA,SD,1
MA,VT,1
MD,CA,1
MD,MN,1
MD,NY,1
MD,SD,1
MD,VT,1
ME,CA,1
ME,MN,1
ME,NY,1
ME,SD,1
ME,VT,1
MI,CA,1
MI,MN,1
MI,NY,1
MI,SD,1
MI,VT,1
MN,NY,1
MN,SD,1
MN,VT,1
MO,CA,1
MO,MN,1
MO,NY,1
MO,SD,1
MO,VT,1
MS,CA,1
MS,MN,1
MS,NY,1
MS,SD,1
MS,VT,1
MT,CA,1
MT,MN,1
MT,NY,1
MT,SD,1
MT,VT,1
NC,CA,1
NC,MN,1
NC,NY,1
NC,SD,1
NC,VT,1
ND,CA,1
ND,MN,1
ND,NY,1
ND,SD,1
ND,VT,1
NE,CA,1
NE,MN,1
NE,NY,1
NE,SD,1
NE,VT,1
NH,CA,1
NH,MN,1
NH,NY,1
NH,SD,1
NH,VT,1
NJ,CA,1
NJ,MN,1
NJ,NY,1
NJ,SD,1
NJ,VT,1
NM,CA,1
NM,MN,1
NM,NY,1
NM,SD,1
NM,VT,1
NV,CA,1
NV,MN,1
NV,NY,1
NV,SD,1
NV,VT,1
OH,CA,1
OH,MN,1
OH,NY,1
OH,SD,1
OH,VT,1
OK,CA,1
OK,MN,1
OK,NY,1
OK,SD,1
OK,VT,1
OR,CA,1
OR,MN,1
OR,NY,1
OR,SD,1
OR,VT,1
PA,CA,1
PA,MN,1
PA,NY,1
PA,SD,1
PA,VT,1
RI,CA,1
RI,MN,1
RI,NY,1
RI,SD,1
RI,VT,1
SC,CA,1
SC,MN,1
SC,NY,1
SC,SD,1
SC,VT,1
SD,NY,1
SD,VT,1
TN,CA,1
TN,MN,1
TN,NY,1
TN,SD,1
TN,VT,1
TX,CA,1
TX,MN,1
TX,NY,1
TX,SD,1
TX,VT,1
UT,CA,1
UT,MN,1
UT,NY,1
UT,SD,1
UT,VT,1
VA,CA,1
VA,MN,1
VA,NY,1
VA,SD,1
VA,VT,1
VT,CA,1
VT,MN,1
VT,NY,1
VT,SD,1
WA,CA,1
WA,MN,1
WA,NY,1
WA,SD,1
WA,VT,1
WI,CA,1
WI,MN,1
WI,NY,1
WI,SD,1
WI,VT,1
WV,CA,1
WV,MN,1
WV,NY,1
WV,SD,1
WV,VT,1
WY,CA,1
WY,MN,1
WY,NY,1
WY,SD,1
WY,VT,1
