STATE_ABBREV,eigenvector,out_degree,betweenness
TN,0.6024972938511474,0.1,0.0
OK,0.30220271843903224,0.1,0.0
AL,0.3022027184390322,0.1,0.0
OR,0.3022027184390322,0.1,0.0
NC,0.3012494023266131,0.05,0.0
AR,0.3012494023266131,0.05,0.0
SC,0.3012494023266131,0.05,0.0
KY,0.3012494023266131,0.05,0.0
NV,0.0019081430269187157,0.1,0.0
UT,0.0019081430269187157,0.1,0.0
MT,0.0009548269144993134,0.05,0.0
OH,0.0009548269144993134,0.05,0.0
IN,0.0009548269144993134,0.05,0.0
WA,0.0009548269144993134,0.05,0.0
MO,0.0009548269144993134,0.05,0.007894736842105263
GA,0.0009548269144993134,0.05,0.007894736842105263
FL,1.5108020799039767e-06,0.0,0.0
KS,1.5108020799039767e-06,0.0,0.0
AZ,1.5108020799039767e-06,0.0,0.0
MI,1.5108020799039767e-06,0.0,0.0
ID,1.5108020799039767e-06,0.0,0.0
