STATE_ABBREV,Rank_OutDegree,Out_Degree_Weight,Rank_Eigenvector,Eigenvector,Rank_Betweenness,Betweenness
TN,1.0,1.6666666666666665,11.0,3.696160719762251e-08,4.0,0.0
NV,2.0,1.5,11.0,3.696160719762251e-08,4.0,0.0
SC,3.0,1.3333333333333333,11.0,3.696160719762251e-08,4.0,0.0
GA,4.0,1.0,2.0,0.005509441726466817,1.0,0.008771929824561403
AL,5.0,0.5833333333333333,11.0,3.696160719762251e-08,4.0,0.0
OK,6.0,0.5333333333333333,11.0,3.696160719762251e-08,4.0,0.0
OH,7.0,0.5,11.0,3.696160719762251e-08,4.0,0.0
NC,7.0,0.5,5.0,4.0325113452606174e-05,4.0,0.0
ID,7.0,0.5,9.0,1.0108999568549753e-05,3.0,0.005847953216374269
IN,7.0,0.5,11.0,3.696160719762251e-08,4.0,0.0
MO,7.0,0.5,6.0,2.6895729504136653e-05,1.0,0.008771929824561403
KY,12.0,0.3333333333333333,11.0,3.696160719762251e-08,4.0,0.0
AR,12.0,0.3333333333333333,11.0,3.696160719762251e-08,4.0,0.0
OR,14.0,0.25,11.0,3.696160719762251e-08,4.0,0.0
KS,15.0,0.0,3.0,0.003666930248736794,4.0,0.0
FL,15.0,0.0,1.0,0.9999771458595504,4.0,0.0
MT,15.0,0.0,4.0,0.0013799061623124393,4.0,0.0
UT,15.0,0.0,8.0,2.0181037529901894e-05,4.0,0.0
AZ,15.0,0.0,10.0,5.07298058787368e-06,4.0,0.0
MI,15.0,0.0,7.0,2.0181037529901914e-05,4.0,0.0
